Other IT & Software|0
Web Development|1
IT Certifications|2
Language Learning|3
Programming Languages|4
Personal Transformation|5
Network & Security|6
Engineering|7
Entrepreneurship|8
Microsoft|9
Investing & Trading|10
3D & Animation|11
Arts & Crafts|12
Career Development|13
Graphic Design & Illustration|14
Management|15
Data Science|16
Mobile Development|17
General Health|18
Digital Marketing|19
Instruments|20
Esoteric Practices|21
Math|22
Test Prep|23
Social Media Marketing|24
Design Tools|25
Project Management|26
Operating Systems & Servers|27
Game Development|28
E-Commerce|29
Other Teaching & Academics|30
Science|31
Personal Productivity|32
Communication|33
Sales|34
Business Analytics & Intelligence|35
Online Education|36
Database Design & Development|37
Business Strategy|38
Finance|39
Hardware|40
Teacher Training|41
Video Design|42
Software Engineering|43
Software Development Tools|44
Cryptocurrency & Blockchain|45
Nutrition & Diet|46
Web Design|47
Architectural Design|48
Religion & Spirituality|49
Accounting & Bookkeeping|50
Food & Beverage|51
Mental Health|52
Parenting & Relationships|53
Humanities|54
Other Design|55
Creativity|56
Leadership|57
Yoga|58
Human Resources|59
Fitness|60
Operations|61
Other Business|62
Music Production|63
Other Personal Development|64
Software Testing|65
Social Science|66
Beauty & Makeup|67
Other Health & Fitness|68
Paid Advertising|69
Content Marketing|70
Self Esteem & Confidence|71
Search Engine Optimization|72
Dance|73
Marketing Fundamentals|74
Other Office Productivity|75
Other Lifestyle|76
Martial Arts & Self Defense|77
Stress Management|78
Industry|79
Real Estate|80
Meditation|81
Happiness|82
Music Fundamentals|83
No-Code Development|84
Sports|85
Memory & Study Skills|86
Affiliate Marketing|87
Digital Photography|88
User Experience Design|89
Video & Mobile Marketing|90
Other Photography & Video|91
Gaming|92
Influence|93
Other Finance & Accounting|94
Game Design|95
Financial Modeling & Analysis|96
Media|97
Fashion Design|98
Music Software|99
Music Techniques|100
SAP|101
Home Improvement & Gardening|102
Photography|103
Google|104
Interior Design|105
Motivation|106
Photography Tools|107
Vocal|108
Branding|109
Business Law|110
Other Marketing|111
Pet Care & Training|112
Finance Cert & Exam Prep|113
Travel|114
Other Music|115
Money Management Tools|116
Personal Brand Building|117
Marketing Analytics & Automation|118
Taxes|119
Safety & First Aid|120
Product Marketing|121
Growth Hacking|122
Economics|123
Portrait Photography|124
Commercial Photography|125
Compliance|126
Apple|127
Oracle|128
Public Relations|129
(no subcategory listed)|130
